sample,color,gt_box,pred_box,IoU,center_err,contrast,bbox_pixel_area,failure_type,predicted_color
sample_0000,red sphere,"[220, 295, 18, 12]","[351.91471099853516, 383.9747714996338, 24.115867614746094, 26.64094090461731]",0.0,159.12,88.2498,216,Miss,other
sample_0000,green sphere,"[266, 325, 20, 15]","[266.8561553955078, 326.7843818664551, 20.92092514038086, 20.867205262184143]",0.6646,1.98,86.8844,300,Good,green sphere
sample_0000,blue sphere,"[191, 356, 22, 18]","[191.7423439025879, 357.23496437072754, 23.366985321044922, 23.637297749519348]",0.7137,1.44,86.5313,396,Good,blue sphere
sample_0000,yellow sphere,"[340, 292, 18, 12]","[339.91153717041016, 292.3572063446045, 17.780104875564575, 18.10074806213379]",0.6576,0.37,91.7723,216,Good,yellow sphere
sample_0000,black sphere,"[292, 317, 19, 14]","[292.1223449707031, 317.26919174194336, 19.446771144866943, 20.14215588569641]",0.6791,0.3,61.2143,266,Good,black sphere
sample_0000,pink sphere,"[352, 383, 23, 21]","[351.9352340698242, 383.98449897766113, 24.10982608795166, 26.636711955070496]",0.7521,0.99,94.4744,483,Good,pink sphere
sample_0001,red sphere,"[407, 290, 18, 11]","[410.79532623291016, 394.23863410949707, 24.705591201782227, 27.509336471557617]",0.0,104.31,109.0341,198,Miss,other
sample_0001,green sphere,"[255, 278, 17, 11]","[255.75857162475586, 278.7242889404297, 16.645472049713135, 17.56506085395813]",0.5838,1.05,88.9437,187,Good,green sphere
sample_0001,blue sphere,"[391, 342, 21, 17]","[391.1687469482422, 343.2070541381836, 21.600801944732666, 22.005354166030884]",0.7511,1.22,107.7732,357,Good,blue sphere
sample_0001,yellow sphere,"[232, 309, 19, 14]","[232.25156784057617, 309.6266841888428, 19.219937324523926, 19.167791604995728]",0.7128,0.68,80.5146,266,Good,yellow sphere
sample_0001,black sphere,"[208, 326, 20, 15]","[208.004150390625, 326.82738304138184, 21.02771282196045, 20.522995591163635]",0.6952,0.83,55.1482,300,Good,black sphere
sample_0001,pink sphere,"[410, 394, 25, 22]","[410.76366424560547, 394.26950454711914, 24.747905731201172, 27.4963116645813]",0.7577,0.81,93.777,550,Good,pink sphere
sample_0002,red sphere,"[256, 287, 17, 12]","[256.1703681945801, 288.17407608032227, 17.873011827468872, 17.912058234214783]",0.6372,1.19,88.3073,204,Good,red sphere
sample_0002,green sphere,"[413, 296, 18, 12]","[413.78700256347656, 297.0764350891113, 18.638484477996826, 18.96626651287079]",0.5858,1.33,102.4031,216,Good,green sphere
sample_0002,blue sphere,"[405, 329, 20, 15]","[405.0669860839844, 329.67347145080566, 20.549421310424805, 21.153926253318787]",0.6901,0.68,98.845,300,Good,blue sphere
sample_0002,yellow sphere,"[284, 281, 17, 11]","[413.7754440307617, 297.0476531982422, 18.543628454208374, 18.832316994667053]",0.0,130.76,78.8872,187,Miss,other
sample_0002,black sphere,"[305, 282, 18, 11]",,0.0,99999,59.4793,198,Miss,other
sample_0002,pink sphere,"[387, 342, 21, 17]","[256.1783218383789, 288.2248306274414, 17.909964323043823, 17.87563383579254]",0.0,141.44,94.069,357,Miss,other
