sample,color,gt_box,pred_box,IoU,center_err,contrast,bbox_pixel_area,failure_type,predicted_color
sample_0000,red sphere,"[347, 360, 22, 18]","[347.0437240600586, 361.1829471588135, 22.309980392456055, 23.515782952308655]",0.7548,1.18,103.2648,396,Good,red sphere
sample_0000,green sphere,"[413, 291, 18, 12]","[413.3805465698242, 291.3164234161377, 17.953425645828247, 17.96496570110321]",0.645,0.49,103.0663,216,Good,green sphere
sample_0000,blue sphere,"[299, 313, 19, 14]","[299.38838958740234, 313.4231185913086, 19.75160002708435, 19.93300974369049]",0.6749,0.57,93.5583,266,Good,blue sphere
sample_0000,yellow sphere,"[234, 288, 18, 11]","[234.46208953857422, 288.95708084106445, 17.931721210479736, 17.288562655448914]",0.6103,1.06,82.0095,198,Good,yellow sphere
sample_0000,black sphere,"[393, 336, 21, 16]",,0.0,99999,86.7745,336,Miss,other
sample_0001,red sphere,"[261, 350, 21, 17]","[260.8988952636719, 351.8547248840332, 22.158973217010498, 22.932958602905273]",0.7025,1.86,93.7054,357,Good,red sphere
sample_0001,green sphere,"[425, 320, 19, 15]","[424.7193145751953, 320.7469367980957, 20.671041011810303, 20.358020067214966]",0.6772,0.8,103.4357,285,Good,green sphere
sample_0001,blue sphere,"[221, 396, 24, 23]","[221.4150047302246, 397.1480369567871, 25.732672214508057, 27.85996377468109]",0.77,1.22,95.7991,552,Good,blue sphere
sample_0001,yellow sphere,"[379, 321, 20, 14]","[379.5010757446289, 321.05618476867676, 19.45767879486084, 19.7268283367157]",0.6821,0.5,93.2909,280,Good,yellow sphere
sample_0001,black sphere,"[313, 340, 21, 17]","[221.46060943603516, 397.1890926361084, 25.69969892501831, 27.747060656547546]",0.0,107.94,75.0912,357,Miss,other
sample_0002,red sphere,"[396, 319, 19, 14]","[395.6421661376953, 320.30542373657227, 20.160655975341797, 20.02957284450531]",0.6587,1.35,103.8321,266,Good,red sphere
sample_0002,green sphere,"[271, 306, 18, 13]","[271.3079643249512, 307.1817398071289, 19.29213047027588, 19.77326273918152]",0.6134,1.22,85.2242,234,Good,green sphere
sample_0002,blue sphere,"[324, 297, 18, 13]","[323.8890838623047, 297.658109664917, 18.694701194763184, 18.664369583129883]",0.6706,0.67,98.4781,234,Good,blue sphere
